0.03 0.05
0.03 0.1 
0.03 0.2
0.03 0.3
0.03 0.4
0.03 0.5
0.03 0.6
0.03 0.7
0.03 0.8
0.03 0.9
0.06 0.05
0.06 0.1 
0.06 0.5
0.06 0.6
0.06 0.7
0.06 0.8
0.06 0.9
0.09 0.05
0.09 0.1 
0.09 0.2
0.09 0.3
0.09 0.5
0.09 0.6
0.09 0.7
0.09 0.8
0.09 0.9
0.12 0.05
0.12 0.1 
0.12 0.2
0.12 0.3
0.12 0.5
0.12 0.6
0.12 0.7
0.12 0.8
0.12 0.9
0.15 0.05
0.15 0.1 
0.15 0.4
0.15 0.6
0.15 0.7
0.15 0.8
0.15 0.9
0.18 0.05
0.18 0.1
0.18 0.3
0.18 0.6
0.18 0.7
0.18 0.8
0.18 0.9
0.21 0.05
0.21 0.1
0.21 0.5
0.21 0.6
0.21 0.7
0.21 0.8
0.21 0.9
0.24 0.05
0.24 0.5
0.24 0.7
0.24 0.8
0.24 0.9
0.27 0.05
0.27 0.1
0.27 0.2
0.27 0.3
